date,expiry,type,strike,spot,iv,premium,delta
2017-01-11,2017-01-18,call,700,777.76,1.524,108.51,0.7273
2017-01-11,2017-01-18,put,700,777.76,1.604,33.64,-0.2792
2017-01-11,2017-01-18,call,700,777.76,1.524,108.51,0.7273
2017-01-11,2017-01-18,put,700,777.76,1.604,33.64,-0.2792
2017-01-11,2017-01-18,call,800,777.76,1.524,55.76,0.4888
2017-01-11,2017-01-18,put,800,777.76,1.604,81.44,-0.5063
2017-01-11,2017-01-18,call,800,777.76,1.524,55.76,0.4888
2017-01-11,2017-01-18,put,800,777.76,1.604,81.44,-0.5063
2017-01-11,2017-01-18,call,900,777.76,1.524,25.51,0.2789
2017-01-11,2017-01-18,put,900,777.76,1.604,150.68,-0.7075
2017-01-12,2017-01-19,call,700,804.83,1.5392,129.42,0.7768
2017-01-12,2017-01-19,put,700,804.83,1.6192,27.28,-0.2313
2017-01-12,2017-01-19,call,800,804.83,1.5392,70.55,0.5536
2017-01-12,2017-01-19,put,800,804.83,1.6192,69.24,-0.4447
2017-01-12,2017-01-19,call,800,804.83,1.5392,70.55,0.5536
2017-01-12,2017-01-19,put,800,804.83,1.6192,69.24,-0.4447
2017-01-12,2017-01-19,call,800,804.83,1.5392,70.55,0.5536
2017-01-12,2017-01-19,put,800,804.83,1.6192,69.24,-0.4447
2017-01-12,2017-01-19,call,900,804.83,1.5392,34.44,0.3381
2017-01-12,2017-01-19,put,900,804.83,1.6192,132.89,-0.6504
2017-01-13,2017-01-20,call,700,823.98,1.5417,144.68,0.808
2017-01-13,2017-01-20,put,700,823.98,1.6217,23.23,-0.2009
2017-01-13,2017-01-20,call,800,823.98,1.5417,81.68,0.5968
2017-01-13,2017-01-20,put,800,823.98,1.6217,61.23,-0.4037
2017-01-13,2017-01-20,call,800,823.98,1.5417,81.68,0.5968
2017-01-13,2017-01-20,put,800,823.98,1.6217,61.23,-0.4037
2017-01-13,2017-01-20,call,900,823.98,1.5417,41.42,0.3796
2017-01-13,2017-01-20,put,900,823.98,1.6217,120.92,-0.6105
2017-01-13,2017-01-20,call,900,823.98,1.5417,41.42,0.3796
2017-01-13,2017-01-20,put,900,823.98,1.6217,120.92,-0.6105
2017-01-14,2017-01-21,call,700,818.41,1.3135,133.27,0.829
2017-01-14,2017-01-21,put,700,818.41,1.3935,17.21,-0.1824
2017-01-14,2017-01-21,call,800,818.41,1.3135,68.31,0.5855
2017-01-14,2017-01-21,put,800,818.41,1.3935,53.43,-0.4151
2017-01-14,2017-01-21,call,800,818.41,1.3135,68.31,0.5855
2017-01-14,2017-01-21,put,800,818.41,1.3935,53.43,-0.4151
2017-01-14,2017-01-21,call,900,818.41,1.3135,29.75,0.3331
2017-01-14,2017-01-21,put,900,818.41,1.3935,114.66,-0.6539
2017-01-14,2017-01-21,call,900,818.41,1.3135,29.75,0.3331
2017-01-14,2017-01-21,put,900,818.41,1.3935,114.66,-0.6539
2017-01-15,2017-01-22,call,700,821.8,1.1603,131.96,0.8596
2017-01-15,2017-01-22,put,700,821.8,1.2403,12.26,-0.1539
2017-01-15,2017-01-22,call,800,821.8,1.1603,63.55,0.5978
2017-01-15,2017-01-22,put,800,821.8,1.2403,45.28,-0.4042
2017-01-15,2017-01-22,call,800,821.8,1.1603,63.55,0.5978
2017-01-15,2017-01-22,put,800,821.8,1.2403,45.28,-0.4042
2017-01-15,2017-01-22,call,900,821.8,1.1603,24.59,0.3137
2017-01-15,2017-01-22,put,900,821.8,1.2403,106.06,-0.6712
2017-01-15,2017-01-22,call,900,821.8,1.1603,24.59,0.3137
2017-01-15,2017-01-22,put,900,821.8,1.2403,106.06,-0.6712
2017-01-16,2017-01-23,call,700,831.53,0.9829,136.62,0.9088
2017-01-16,2017-01-23,put,700,831.53,1.0629,6.69,-0.1068
2017-01-16,2017-01-23,call,800,831.53,0.9829,61.8,0.6376
2017-01-16,2017-01-23,put,800,831.53,1.0629,33.73,-0.3683
2017-01-16,2017-01-23,call,800,831.53,0.9829,61.8,0.6376
2017-01-16,2017-01-23,put,800,831.53,1.0629,33.73,-0.3683
2017-01-16,2017-01-23,call,900,831.53,0.9829,20.45,0.3039
2017-01-16,2017-01-23,put,900,831.53,1.0629,92.17,-0.6787
2017-01-16,2017-01-23,call,900,831.53,0.9829,20.45,0.3039
2017-01-16,2017-01-23,put,900,831.53,1.0629,92.17,-0.6787
2017-01-17,2017-01-24,call,800,907.94,1.138,123.97,0.8111
2017-01-17,2017-01-24,put,800,907.94,1.218,18.81,-0.2019
